id;first_name;last_name;email;twitter;bio
1;Bianka;Thompson;Tiara95@gmail.com;attitude-oriented;copying
2;Bette;Wolf;Gilda.Pollich54@yahoo.com;wireless;Handcrafted Cotton Mouse
3;Tiara;Torp;Quinton_Zieme@gmail.com;Function-based Tasty Fresh Hat Keyboard;Implemented Kansas synthesizing
4;Mitchel;Graham;Julian_Braun@yahoo.com;port;Designer Virginia Fully-configurable
5;Julia;Thiel;Randall49@yahoo.com;Iowa French Southern Territories;Orchestrator Compatible
6;Muhammad;Kulas;Ashley.Stoltenberg80@yahoo.com;withdrawal Coves cross-platform;info-mediaries
7;Lizzie;O'Kon;Valentin.Buckridge49@yahoo.com;RSS Maryland;hybrid compress Massachusetts
8;Annamarie;Von;Jamal_Thompson@gmail.com;Incredible primary Forward;Personal Loan Account
9;Margarett;Balistreri;Orville91@yahoo.com;24/7 Springs fuchsia;lime
10;Kari;Schmeler;Arden16@yahoo.com;e-business PCI;Springs
